id,route,location,url,avg_stars,route_type,rating,pitches,length,area_latitude,area_longitude, desc, protection, num_votes
150,Bobette man,06 - Dame nature > Montagne d'Argent > 15. Laurentians > Quebec > Canada > North America > International,https://www.mountainproject.com/route/116987575/bobette-man,2.0,"Sport, TR",5.10c,1,50.0,46.1291,-74.67985,Interesting technical crux after the second bolt.  Crux intéressant et technique après le second ancrage.,5 bolts + anchor,1
151,Bolts left Your Wife,Tight Canyon > Devil's Glen > Ontario South Bouldering and Rock > Ontario > Canada > North America > International,https://www.mountainproject.com/route/119126288/bolts-left-your-wife,2.0,Sport,5.10c,1,,44.35302,-80.23113000000002,Slab climb featuring finger cracks and several hidden finger pockets.,Bolted with fixed anchors.,2
152,Bonesaw Arete,Las Agujas (The Spires) > El Potrero Chico > Nuevo Leon > Northern Mexico > Mexico > North America > International,https://www.mountainproject.com/route/118560627/bonesaw-arete,3.0,Sport,5.10c,1,100.0,25.94738,-100.47773000000001,"Alternate second pitch for Crack Test Dummies. At the top of Crack Test Dummies pitch 1~ belay from the higher of two sets of anchors. Leaving the belay~ pull a couple moves off the belay following the left most set of bolts (the side of the Spire facing Mota Wall) Continue for approximately 100 feet utilizing an arete and face holds.  To finish stop on the ledge and climb the 12 foot ""third pitch"" of Crack Test Dummies OR (preferred) follow the last 3 bolts of Sunnyside Up to top out the Grande Spire.    Shares a couple bolts with Achtung Rheinstein Arete.",Bolts.,1
153,Born a Misfit,(g) The Corridor > (a) The Fortress > Skaha > Okanagan > British Columbia > Canada > North America > International,https://www.mountainproject.com/route/112836009/born-a-misfit,2.7,Sport,5.10c,1,85.0,49.43607,-119.56778999999999,A similar style to Genetic Mirror for the first half of the climb~ followed by a cool move over a roof and a thin slabby crux passing the final bolt.,8 bolts.,3
154,Botanera,La Lulu > La Huasteca > Nuevo Leon > Northern Mexico > Mexico > North America > International,https://www.mountainproject.com/route/112798587/botanera,3.0,Sport,5.10c,1,15.0,25.652160000000002,-100.46025,No information,5 bolts to a 2 bolt anchor,1
155,Boulevard Circus,Into the Shade > Devil's Glen > Ontario South Bouldering and Rock > Ontario > Canada > North America > International,https://www.mountainproject.com/route/114304892/boulevard-circus,0.0,Trad,5.10c R,1,,44.353970000000004,-80.22805,Poorly protected cracks~ better avoided.  Unless you're into that sorta thing.,none,1
156,Boys from the Bay,Tower of Power > Quarry Rock > Vancouver Area > British Columbia > Canada > North America > International,https://www.mountainproject.com/route/114946335/boys-from-the-bay,2.0,"Sport, TR",5.10c,1,35.0,49.33521,-122.93631,Start to the right and back to the left. Slabby~ crimpy~ and technical.,4 bolts with bolted anchors.   Shares anchor with Soul Vaccination.,1
157,Brilliant Pebbles,(c) Grassy Glades > (h) Small Eastern Crags > Skaha > Okanagan > British Columbia > Canada > North America > International,https://www.mountainproject.com/route/106229367/brilliant-pebbles,3.1,Sport,5.10c,1,82.0,49.44142,-119.56071000000001,A burly 10c~ sustained the whole way up~ wanders a bit so keep your mind open to stepping right or left rather than always straight up.,9 bolts.,19
158,Brothers in Arms,Crow's Nest > Nova Scotia > Canada > North America > International,https://www.mountainproject.com/route/114608227/brothers-in-arms,3.0,Trad,5.10c,1,60.0,44.473279999999995,-63.70536,This imposing route climbs the hand crack out of the right side of an obvious roof. After the roof~ throw yourself into the chimney slot and rest awhile. Challenges resume at the top of the chimney~ where steep finger and fist cracks lead to the top.,Standard rack with doubles of hand size pieces. Glue-ins for anchor.,1
299,Fastball,Latvian Ledge Area > Lion's Head > Ontario South Bouldering and Rock > Ontario > Canada > North America > International,https://www.mountainproject.com/route/109093455/fastball,2.4,Trad,5.10c,1,,45.005179999999996,-81.22717,The right of the two cracks~ this often-wet route is nice when dry.,Medium gear,5
300,Fear Train,The Wall of Shadows > The Swamp > Ontario South Bouldering and Rock > Ontario > Canada > North America > International,https://www.mountainproject.com/route/112397027/fear-train,2.7,Sport,5.10c,1,,44.41912,-80.4244,none listed,none listed,7
301,Feed Me Seymour,Bowen Island > Vancouver Area > British Columbia > Canada > North America > International,https://www.mountainproject.com/route/108959564/feed-me-seymour,1.5,Sport,5.10c,1,,49.35099,-123.35752,Far left side. The start of this route is tide dependent.,6 bolts~ chains,2
302,Feline Fine,Upper Cat Wall > Cat Walls > Castlegar > Kootenays West > British Columbia > Canada > North America > International,https://www.mountainproject.com/route/114299287/feline-fine,2.0,"Sport, Alpine",5.10c,1,90.0,49.3446,-117.80378999999999,none listed,Bolts.,1
303,Feu Sacré,H. Folles > Lac du Cap > 14. Lanaudiere > Quebec > Canada > North America > International,https://www.mountainproject.com/route/112510347/feu-sacre,3.0,Trad,5.10c,1,65.0,46.807829999999996,-73.57909000000002,Beau 'face' vertical.   Plusieurs petits crux entrecoupés de courts repos.   Finale sous tension!,5 Bolts   Poignée de cams BD#.3 à #1   Relais équipé,4
304,Fiberglass Undies,Gardener's Wall > Grassi Lakes > Bow Valley > Alberta > Canada > North America > International,https://www.mountainproject.com/route/109265475/fiberglass-undies,2.8,Sport,5.10c,1,45.0,51.07168,-115.40728999999999,About as comfortable as the name implies~ but still really fun climbing.  Good moves~ but the holds are a little sharp~ even for rockies limestone.,8 bolts plus anchors,5
305,Fidget,House of Cards > Cougar Canyon (Creek) - CONSTRUCTION IN PROGRESS > Bow Valley > Alberta > Canada > North America > International,https://www.mountainproject.com/route/110391625/fidget,2.5,Sport,5.10c,2,145.0,51.09785,-115.3159,A good two pitch route that climbs easy stuff into harder stuff.     Pitch 1 (Slowpoke): 5.8 climbing a little left of a brown streak to a ledge. Continue through the dihedral and get to the anchor.    Pitch 2 (Fidget): 5.10c climbing on difficult and interesting stone.     Descent: lower to midway anchor and to the ground. Climbing 1 long pitch and bringing up a second may be the best way to climb this beast,19 bolts to anchor,6
306,Fifty Mission Cap,X Wall > McQuirks Mountain > New Brunswick > Canada > North America > International,https://www.mountainproject.com/route/109620658/fifty-mission-cap,4.0,Trad,5.10c,1,170.0,45.18656,-66.85236,There is a lot of variety packed into this long pitch.  An easy start~ a roof to surmount~ a long corner providing great stemming~ a short but tricky bolt protected traverse and to finish off this test of endurance - a burly crack section. Watch out for rope drag.,"Standard rack to 3"".  Maybe double up from .5 to #1 camalots.  One bolt protects a techy traverse.  Bolted rappel stations get you to the ground.",6
307,Filo de Chuchilla,12. Arista Filo de Chuchilla > Mogote del Valle > Vinales > Cuba > North America > International,https://www.mountainproject.com/route/114019794/filo-de-chuchilla,4.0,Sport,5.10c,2,180.0,22.624979999999997,-83.71878000000002,A very nice 2 pitches route.  P1: Climb on super sharp rock up to a point where you have to traverse left. You will encounter a highline anchor~ but don't use it~ keep going to a ledge with a 2 bolt anchor.  P2: The money pitch!! Climb the arete to the top using good holds. The last part is runout but the climbing eases. If you get freaked out while on this pitch you can bail on Hara Kiri to your right.  Descent: Rappel the route or use an improbable trail (I have not look for it~ but the guidebook states it),Quickdraws,2
308,Flash Back,Leaning Tree Edge > South Peak Crags > Chinese Mountains > Quadra Island > Vancouver Island > British Columbia > Canada > North America > International,https://www.mountainproject.com/route/112839679/flash-back,2.0,Sport,5.10c,1,75.0,50.1412,-125.26031,This was probably the first route to be climbed as a 'rock climb' at Chinese Mountains~ top roped in 1997 by Phil Stone~ Greg Shea and Liam Edwards. It was climbing this route and discovering that these crags would take a major bolting effort to make a climbing area that delayed development for what turned out to be almost 20 years.     Great sustained climbing on positive holds with a strenuous mid-section. Start behind the leaning tree up steep~ clean grey rock to the left of a boulder-pinnacle to a thin crack in a left facing corner on a semi-detached (but solid) block. Climb over the block into a shallow corner on good holds to mantle onto a narrow black ledge halfway up. Step left on the ledge and then continue direct alongside the tree up a steep~ grinding wall. Pull onto a rest ledge and then a few easier moves to finish.,8 bolts - bolted anchor,1
449,Me Cramer les Couilles,Ground Zero > Nuevo Bayamón > Puerto Rico > North America > International,https://www.mountainproject.com/route/108752050/me-cramer-les-couilles,3.6,Sport,5.10c,1,30.0,18.40543,-66.14278,The body positioning combined with the great features on this climb made it our gem of the day.  As the local guide says~ it's a shame it's only 30 feet long!,6 bolts to chain anchors,15
450,Meanderthal Man,La Discothèque > Mt Wells > Victoria > Vancouver Island > British Columbia > Canada > North America > International,https://www.mountainproject.com/route/113594619/meanderthal-man,2.0,Sport,5.10c,1,50.0,48.44191,-123.55913999999999,The bottom is definitely the crux. The route changes character above the 4th bolt. Quite powerful at the bottom.,~7 bolts. Shares chains with Two-Step. Well protected throughout the tough section.,1
451,Meat Puppets,Overhanging Wall > Metcalfe Rock > Ontario South Bouldering and Rock > Ontario > Canada > North America > International,https://www.mountainproject.com/route/112393316/meat-puppets,4.0,"Trad, TR",5.10c,1,,44.4172,-80.44039000000002,none listed,none listed,1
452,Mentirosa (Right),Sector 3 > Lake Amatitlan > Guatemala > North America > International,https://www.mountainproject.com/route/116708841/mentirosa-right,1.0,Sport,5.10c,1,25.0,14.492220000000001,-90.60668000000001,5 Bolts. Short but packs a punch,5 bolts,1
453,Merchants and Thieves,Merchants and Thieves Wall > Lion's Head > Ontario South Bouldering and Rock > Ontario > Canada > North America > International,https://www.mountainproject.com/route/109097594/merchants-and-thieves,1.5,Trad,5.10c,1,,44.99906,-81.234,Namesake of the wall~ this mixed line starts down off the ledge of the previous routes.,Mixed - bolts with medium sized gear useful.,2
454,Merzhin ar Strobineller,Zombie Wall > DFO (The Skerries) > St John's Area > Avalon Peninsula > Newfoundland > Newfoundland and Labrador > Canada > North America > International,https://www.mountainproject.com/route/108097418/merzhin-ar-strobineller,3.0,Sport,5.10c,1,100.0,47.5925,-52.6642,Starts easy with a crux around halfway and a good rest before the finish.,14 bolts & Anchor,1
455,Metamorfósil,Lost World > Nuevo Bayamón > Puerto Rico > North America > International,https://www.mountainproject.com/route/115326647/metamorfosil,3.5,Sport,5.10c,1,,18.405379999999997,-66.1456,Start by going up the overhang metal ladder.,Bolts. Anchor.,2
456,Metamorfosis etilica,Chachamuri Derecha > Rancho San Lorenzo > Basaseachi > Chihuahua > Northern Mexico > Mexico > North America > International,https://www.mountainproject.com/route/116552904/metamorfosis-etilica,3.0,Sport,5.10c,1,,28.209509999999998,-108.20828,Revisar foto del topo para su localización.,Plaquetas y reunion,1
457,Mexican Vacation,Lower Virgin > Virgin Canyon > El Potrero Chico > Nuevo Leon > Northern Mexico > Mexico > North America > International,https://www.mountainproject.com/route/106186170/mexican-vacation,1.5,Sport,5.10c,1,75.0,25.950879999999998,-100.47865999999999,Move right at the third bolt on Trouble At The Border and finish at the anchors for Resurrection.,Bolts with anchors.,4
458,Mid-Line Crisis,Hassler Crag > Northern BC > British Columbia > Canada > North America > International,https://www.mountainproject.com/route/118728752/mid-line-crisis,4.0,"Trad, TR",5.10c,1,70.0,55.61555,-121.89393999999999,Not a lot known about this route yet~ someone enlighten us!,"2 top anchor bolts with chains~ 4 bolts along route~ gear to 2"".",1
599,Six Bag,Escalera No. 3 > Parque Mirador del Sur > Dominican Republic > North America > International,https://www.mountainproject.com/route/111894381/six-bag,2.0,"Sport, TR",5.10c,1,,18.44346,-69.95158,Esc 3,4 Stainless steel bolts 2 Stainless steel bolts with chain links on the top.,1
600,Sky Dancing,Ronin's Corner > The Smoke Bluffs > Squamish > British Columbia > Canada > North America > International,https://www.mountainproject.com/route/105910932/sky-dancing,2.5,Sport,5.10c PG13,1,75.0,49.7035,-123.1376,The arete just right of Dreams of Passion.  This isn't as hard as Dreams~ but still requires tough friction moves between bolts spaced enough to keep it exciting.,The first bolt is pretty high.  It used to be possible to pre-clip it by standing on a stump~ but the stump is now gone.  The first moves~ especially if you take the slab on the left~ could well be the crux~ and the base drops off right below the bolt so you risk a fifteen foot fall after only climbing ten feet.  All this suggests that stick-clipping is a very good idea~ but you may be able to climb MCM to the height of the bolt and traverse over to it.    Take a few nuts or small cams for the crack between the two slab sections.  There's a two-bolt anchor at the top of Dreams of Passion that works for this climb.,8
601,Slice of Life,Tunnel Mountain > Banff National Park > Alberta > Canada > North America > International,https://www.mountainproject.com/route/117649252/slice-of-life,3.0,Sport,5.10c,1,69.0,51.1775,-115.5528,Climb up the steep face to the dihedral and move right onto the face.,8 bolts,1
602,Sloth Corner,Tower of Tails > Okanagan > British Columbia > Canada > North America > International,https://www.mountainproject.com/route/115776245/sloth-corner,4.0,"Trad, TR",5.10c,1,60.0,49.48356,-120.38186999999999,Move up the splitter slanting and overhanging hand crack and use the walls when necessary for friction (or purely jam the crack) since there aren't many footholds. Pull through the cruxy roof feature a little ways off the ground and enjoy the rest of the excellent jams. You can start at the very bottom of the crack for maximum fun~ or start on a ledge a little ways off the ground.,SR with an extra BD #2 and #3 for comfort. Long slings if setting up a TR.,1
603,Slow Pitch,(c) The Prow > (c) Doctors' Group > Skaha > Okanagan > British Columbia > Canada > North America > International,https://www.mountainproject.com/route/114573502/slow-pitch,3.0,Trad,5.10c,2,,49.44381,-119.56741000000001,We found the (old) guidebook picture to be taken at an extremely odd angle that was less then helpful. New guidebook pictures are spot on.  P1: 5.10b. Start up a corner with fun stemming leading to an intimidating looking roof/undercling out right and up. After the roof climb up the corner until arriving at the belay on your right. Quality pitch. Gear to #3BD C4  P2: 5.10c. Trending up and slightly right from the belay. Do not continue up the same corner system as P1. ,"Gear to 3"". Extras in the small cams/stoppers may be needed for p2/",1
604,Snagglepuss,Amphitheatre > Mount Maxwell > Salt Spring Island > Strait of Georgia > British Columbia > Canada > North America > International,https://www.mountainproject.com/route/114481547/snagglepuss,3.0,Sport,5.10c,2,130.0,48.79938,-123.51235,P1: Dihedral cimbing near a tree to slab in the middle. Using the tree brings the rating down at least a few letter grades. P2 is easier (5.9) face climbing.,bolts (P1: 11~ P2: 5),1
605,Snake Eyes,Casino Wall > Cougar Canyon (Creek) - CONSTRUCTION IN PROGRESS > Bow Valley > Alberta > Canada > North America > International,https://www.mountainproject.com/route/110387442/snake-eyes,3.0,Sport,5.10c,1,90.0,51.09772,-115.3159,"Slab climbing as for ""Loaded Dice"" and then continue to the roofs above. Good climbing and somewhat pumpy. Stay on your toes!",11 bolts to anchor,4
606,So! Maybe You Need a Lesson in Humility!,Lady Slipper Wall > Lion's Head > Ontario South Bouldering and Rock > Ontario > Canada > North America > International,https://www.mountainproject.com/route/109097384/so-maybe-you-need-a-lesson-in-humility,0.0,Sport,5.10c,1,,45.00654,-81.22506,Just left of Kung-Fu~ this route has a lot of fragile and very loose rock at the beginning.,Bolts,2
607,Sol Y sangre,Médicos > La Huasteca > Nuevo Leon > Northern Mexico > Mexico > North America > International,https://www.mountainproject.com/route/112791587/sol-y-sangre,3.0,Sport,5.10c,1,75.0,25.59508,-100.44456,No information,10 bolts to a 2 bolt anchor,1
608,Solo y Fugitivo,Bichuflinqui > Nuevo Bayamón > Puerto Rico > North America > International,https://www.mountainproject.com/route/116556242/solo-y-fugitivo,1.0,Sport,5.10c,1,45.0,18.40544,-66.14588,Overhung and fun,5 bolts to chain anchors,1
749,A Woman's Touch,Snowbound > Terrace > Northern BC > British Columbia > Canada > North America > International,https://www.mountainproject.com/route/119091042/a-womans-touch,4.0,Sport,5.10+,1,,54.25018000000001,-129.47293,An interesting climb with many holds to choose from. Climb slightly right ofSpruce Leeup the face through a big pocket to a large ledge with anchors.,Bolted anchor,1
750,Arcana,Creekside > Cougar Canyon (Creek) - CONSTRUCTION IN PROGRESS > Bow Valley > Alberta > Canada > North America > International,https://www.mountainproject.com/route/110940714/arcana,2.0,Sport,5.10+,1,,51.11285,-115.29471000000001,Use some cheater stones to get over the wet slippery rock and head up and traverse right towards a small roof,4 bolts to anchor,1
751,Are You Not Entertained,Centre Stage > The Amphitheater > KLO Creek > Okanagan > British Columbia > Canada > North America > International,https://www.mountainproject.com/route/118759283/are-you-not-entertained,2.0,Sport,5.10+,1,72.0,49.82411,-119.36582,Hard for the grade~ not because of the movement~ but because it is difficult to read and sequenced in some of those places! I would advise stick clipping the first 2 bolts~ there is a crux right off the ground~ and while the first bolt protects it~ a fall is not particularly kind to your belayer here.  Head straight up the first couple of bolts before traversing hard left. Head straight up a couple more bolts and then traverse under the large roof hard right. Pull the roof at the weakness~ then the line should be easy to follow for the remainder as bolts are visible.   After you pull the first roof~ the next bolt is heady~ but safe. There are a couple more bolts like that up higher~ with the crux coming at the next bulge.,11 bolts~ 2 bolt anchor with a locking steel biner,1
752,Artefact,E. Black&White - Club Sandwich > Weir > 15. Laurentians > Quebec > Canada > North America > International,https://www.mountainproject.com/route/108424233/artefact,2.0,Trad,5.10+,2,200.0,45.94479000000001,-74.52771,P1~ 5.10   Large vertical crack~ often wet~ followed by a small horizontal crack then up to the Vire a Bicyclette.   P2~ 5.10+   Starts in Le Grand Bill and traverses right in a small dihedral~ same exit as Le Grand Bill.    Possibility to exit by traversing left at the belay to a small dihedral to the top.    Originally done all trad~ the bolts were added for Le Grand Bill. ,Mixed,1
753,Ass Hat's Chossy Dihedral,The Dihedrals > El Potrero Chico > Nuevo Leon > Northern Mexico > Mexico > North America > International,https://www.mountainproject.com/route/113828550/ass-hats-chossy-dihedral,0.0,Sport,5.10+,1,100.0,25.94681,-100.47955,This route climbs the moss-layered left-facing dihedral on the right side of the gully. Underneath the moss...choss. Might be the dirtiest  pitch in all of EPC...and I do love my choss (except for this one). Beware of breaking holds higher up where the rock begins to disintegrate. The current anchor is an American Death Triangle on the ledge so bring webbing to replace it if you actually finish the route. I didn't care to finish...and probably no one else ever has either. 5.10+ rating is estimated if the route was clean of moss and rotten rock.,bolts,2
754,Athos,Los Mosqueteros > El Reliz / Cerro de las viboras > Sonora > Northern Mexico > Mexico > North America > International,https://www.mountainproject.com/route/113751630/athos,3.3,Sport,5.10+,1,80.0,28.989409999999996,-111.00391,Pasos interesantes y comprometedores te llevan al hoyo donde cabes parado que esta como a 3/4 de ruta~ sales del hoyo con cuidado~ para terminar en una chimenea/grieta. Al final puedes irte por la grieta o por fuera a la izquierda.,Plaquetas,3
755,Atlantis,"2 Mur des Gauchistes > c. Central Area > Lac Long > 03. Quebec City, Charlevoix, Portneuf > Quebec > Canada > North America > International",https://www.mountainproject.com/route/109021315/atlantis,3.0,Trad,5.10+,1,100.0,46.814209999999996,-72.09964000000002,Starts with a very high glue-in (stick-clip). Link the small dihedrals (cams and glue-ins) to a biggish roof~ then continue straight on the face to the belay (glue-ins).  Départ avec un premier scellement très haut (stick-clip). Enchainer des petits dièdres jusqu’au toit (mécaniques et scellements)~ ensuite continuer tout droit sur la face jusqu’au relais (scellements).,glue-ins + gear + stick-clip,2
756,Ayudante de Primera,La Palma (The Palm) Sport > El Salto > Nuevo Leon > Northern Mexico > Mexico > North America > International,https://www.mountainproject.com/route/118647521/ayudante-de-primera,4.0,Sport,5.10+,1,120.0,25.39059,-100.25659,very left side  route f the cave.,fixed binners in the anchor for  lowering,1
757,Bear Jordan,Lower Bear > Bear Country > KLO Creek > Okanagan > British Columbia > Canada > North America > International,https://www.mountainproject.com/route/118136019/bear-jordan,1.0,Sport,5.10+,1,,49.82378,-119.367,Unrelenting pump fest all the way to the big move at the top,bolts & fixed anchor,2
758,Beautee sauvage,"Mont de l'Enfer > Hautes-Gorges-de-la-Rivière-Malbaie > 03. Quebec City, Charlevoix, Portneuf > Quebec > Canada > North America > International",https://www.mountainproject.com/route/114267530/beautee-sauvage,4.0,"Trad, Alpine",5.10+,6,500.0,47.86071,-70.46752,Nice route. Crux is at beginning of pitch two. A Short tree bolts protected slab which may be aided easily. The fourth pitch has a splitter arch which is a contender for some of the best quality climbing Quebec has to offer .,Belays are on bolts and some on pro. Normal rack up to number 3,1
899,Unknown,The Far Right > White Buddha > Alberta > Canada > North America > International,https://www.mountainproject.com/route/118278772/unknown,2.0,Sport,5.10+,1,70.0,50.86521,-114.80672, Get to the ledge and work your way up the clean grey face on nice holds,8 bolts and chain anchors,1
900,Unknown,Chanchullo/El Chonta > Chontalcoatlan > Central Mexico > Mexico > North America > International,https://www.mountainproject.com/route/112427211/unknown,1.0,Sport,5.10+,1,85.0,18.64807,-99.52389000000001,This is one of the bolted routes on the slab/face to the left side of the Reina del Sur sector. The crux is going over a small roof with a tiny crack and bad foot/hand holds.,Quickdraws.,1
901,Unknown bolted route,Neat and Cool > The Smoke Bluffs > Squamish > British Columbia > Canada > North America > International,https://www.mountainproject.com/route/117709677/unknown-bolted-route,2.0,Sport,5.10+,1,45.0,49.706,-123.1403,To the right of the Stumps crack.  Three bolts leading up the middle face.  Passing the second bolt appears to be the crux with thin slab moves gaining the thin crack cutout feature above the bolt.  From there move up into the xenolithic section above (much easier).  The rating depends greatly on how much you stay or stray from the bolt line to use the crack on the right.  I don't have any primary information about the development of this route.  If anyone has that info please let me know and I'll update it accordingly.  Thanks.,three bolts,1
902,Unknown Rotue,Gumby's Wall > The Smoke Bluffs > Squamish > British Columbia > Canada > North America > International,https://www.mountainproject.com/route/113521408/unknown-rotue,1.0,"Trad, TR",5.10+,1,,49.707359999999994,-123.14063999999999,At the far right of the wall~ a lone bolt protects a shallow corner~ above the big horizontal~ with a few small discontinuous face cracks.     The actual start of this climb is unknown~ it could be the crack start of Pokey's Variation or it could be the large corner.,Bolts~ Standard Rack,1
903,Unkown,Cerro Quemado > Guatemala > North America > International,https://www.mountainproject.com/route/112200912/unkown,3.0,Sport,5.10+ PG13,1,180.0,14.802489999999999,-91.50304,To the right of La Competencia and begins with a fun little roof. First clip and crux is to a chain that dangles over the opening roof... Do not fall. After navigating the roof prepare for a long bit of balancy slabby climbing.,60 meter rope~ bolts~ chain anchors at the top,2
904,Unnamed,Left Centre > Roche Lake > Kamloops > British Columbia > Canada > North America > International,https://www.mountainproject.com/route/108071674/unnamed,2.0,Trad,5.10+,1,,50.49659000000001,-120.19671000000001,Climb the chimney to a pair of bolts,gear~ bolt anchor,2
905,Variante de Medley,Sérénité > 14. Lanaudiere > Quebec > Canada > North America > International,https://www.mountainproject.com/route/118713559/variante-de-medley,3.0,Sport,5.10+,1,100.0,46.366820000000004,-73.67416999999998,A variation that avoids the low crux of its right neighbour~ but still enable the climber to experience the balancy slab. Keep some juice for the physical exit.  Variante qui évite le crux de sa voisine de droite~ mais permet de grimper sa portion dalleuse intéressante. Gardez-vous de l’énergie pour la sortie exigeante.,12 bolts.  12 Plaquettes.,1
906,Veggie Tales,Carag-Dur > Eldred Valley > Powell River > British Columbia > Canada > North America > International,https://www.mountainproject.com/route/117733325/veggie-tales,3.0,Trad,5.10+,3,400.0,50.1606,-124.2293,Veggie Tales is one of the few completely gear-protected routes in the Eldred Valley. Three pitches of engaging~ varying styles make a pleasant 3 pitch 5.10(+) outing. Pitches 1 & 3 feature exciting cruxes protected by small~ but bomber gear.  P1: A slippery left-leaning corner edged by unique quartz dykes wakes the leader up right off the deck. Excellent~ thoughtful 5.10 crack/corner work leads into a long 5.8 stembox. This corner was the inspiration for the routes name~ as it was once buried under a 15m tall~ 2m deep garden of dirt. 5.10c . 35m. 2 bolt anchor.  P2: Pull the tiny roof left of the belay and follow the flared hand cracks to a ledge. The rock improves here and is remniscent of Squamish for a moment. Fun finger cracks lead to the belay. 5.8 25m. 2 bolt anchor.  P3: C0 Pendulum left of the belay towards the tree stump. A splitter finger crack with one crux bulge keeps you honest before the easier fingerlocks appear.   Descent: Rap the route.,"DR .3""-3""~ S-4""~ a couple small wires~ 1x70m rope",1
907,Washington Bullets,Brunser Area > Murrin Park > Squamish > British Columbia > Canada > North America > International,https://www.mountainproject.com/route/108103155/washington-bullets,3.0,Trad,5.10+,1,60.0,49.6446,-123.2052,Technical thin crack that feels pretty desperate at times. Nice and sustained difficulty from midway to the anchors. The holds are never quite as big as you'd like and the gear's a little fiddly and spaced.,Finger-sized gear~ you could get a #2 up top but the business is blue Metolius to purple Camalots. Chains at the top.,13
